scenario,family,model,n_train,accuracy,auc_roc,f1,precision,recall,block,ldp_eps,aug_method
fl_ldp_eps1_gs_dp,xgb,gs_dp_xgb,5554,0.6407766990291263,0.6757640999662275,0.5934065934065934,0.6136363636363636,0.574468085106383,ldp,1.0,fairlearn
fl_ldp_eps1_gs_eo,lr,gs_eo_lr,5554,0.6537216828478964,0.7127976190476191,0.58203125,0.6478260869565218,0.5283687943262412,ldp,1.0,fairlearn
fl_ldp_eps1_gs_eo,rf,gs_eo_rf,5554,0.6682847896440129,0.7150350388382304,0.6252285191956125,0.6452830188679245,0.6063829787234043,ldp,1.0,fairlearn
fl_ldp_eps1_gs_eo,xgb,gs_eo_xgb,5554,0.6423948220064725,0.6828985140155353,0.5914972273567468,0.6177606177606177,0.5673758865248227,ldp,1.0,fairlearn
fl_ldp_eps1_to_dp,lr,to_dp_lr,5554,0.6618122977346278,0.7221905606214117,0.6533996683250415,0.6137071651090342,0.6985815602836879,ldp,1.0,fairlearn
fl_ldp_eps1_to_dp,rf,to_dp_rf,5554,0.6731391585760518,0.7150350388382304,0.6493055555555556,0.6360544217687075,0.6631205673758865,ldp,1.0,fairlearn
fl_ldp_eps1_to_dp,xgb,to_dp_xgb,5554,0.63915857605178,0.6828985140155353,0.6108202443280977,0.6013745704467354,0.6205673758865248,ldp,1.0,fairlearn
fl_ldp_eps1_to_eo,lr,to_eo_lr,5554,0.6537216828478964,0.7221905606214117,0.6503267973856209,0.603030303030303,0.7056737588652482,ldp,1.0,fairlearn
fl_ldp_eps1_to_eo,rf,to_eo_rf,5554,0.6666666666666666,0.7150350388382304,0.6484641638225256,0.625,0.6737588652482269,ldp,1.0,fairlearn
fl_ldp_eps1_to_eo,xgb,to_eo_xgb,5554,0.6423948220064725,0.6828985140155353,0.6169844020797226,0.6033898305084746,0.6312056737588653,ldp,1.0,fairlearn
ldp_baseline_eps3,logistic_regression,ldp_baseline_eps3_logistic_regression,5554,0.6779935275080906,0.7218422830124958,0.6135922330097089,0.6781115879828327,0.5602836879432624,ldp,3.0,none
ldp_baseline_eps3,random_forest,ldp_baseline_eps3_random_forest,5554,0.6715210355987055,0.7324911347517731,0.6247689463955638,0.6525096525096525,0.599290780141844,ldp,3.0,none
ldp_baseline_eps3,xgboost,ldp_baseline_eps3_xgboost,5554,0.6472491909385113,0.7011144883485309,0.6036363636363636,0.6194029850746269,0.5886524822695035,ldp,3.0,none
ldp_SCM_eps3,logistic_regression,ldp_SCM_eps3_logistic_regression,11102,0.6682847896440129,0.7173463356973995,0.5824847250509165,0.6842105263157895,0.5070921985815603,ldp,3.0,SCM
ldp_SCM_eps3,random_forest,ldp_SCM_eps3_random_forest,11102,0.6731391585760518,0.7291350050658562,0.6245353159851301,0.65625,0.5957446808510638,ldp,3.0,SCM
ldp_SCM_eps3,xgboost,ldp_SCM_eps3_xgboost,11102,0.6423948220064725,0.6856003039513677,0.5930018416206261,0.6168582375478927,0.5709219858156028,ldp,3.0,SCM
ldp_update_labels_eps3,logistic_regression,ldp_update_labels_eps3_logistic_regression,5554,0.6521035598705501,0.714644545761567,0.6221441124780317,0.6167247386759582,0.6276595744680851,ldp,3.0,update_labels
ldp_update_labels_eps3,random_forest,ldp_update_labels_eps3_random_forest,5554,0.6666666666666666,0.7080483789260386,0.6385964912280703,0.6319444444444444,0.6453900709219859,ldp,3.0,update_labels
ldp_update_labels_eps3,xgboost,ldp_update_labels_eps3_xgboost,5554,0.6359223300970874,0.6877005234718,0.6003552397868561,0.6014234875444839,0.599290780141844,ldp,3.0,update_labels
ldp_add_comparators_eps3,logistic_regression,ldp_add_comparators_eps3_logistic_regression,8230,0.6715210355987055,0.7225704998311382,0.5653104925053534,0.7135135135135136,0.46808510638297873,ldp,3.0,add_comparators
ldp_add_comparators_eps3,random_forest,ldp_add_comparators_eps3_random_forest,8230,0.6731391585760518,0.7326177811550152,0.6085271317829457,0.6709401709401709,0.5567375886524822,ldp,3.0,add_comparators
ldp_add_comparators_eps3,xgboost,ldp_add_comparators_eps3_xgboost,8230,0.6456310679611651,0.6934523809523808,0.5875706214689266,0.6265060240963856,0.5531914893617021,ldp,3.0,add_comparators
ldp_add_comparators_bidir_eps3,logistic_regression,ldp_add_comparators_bidir_eps3_logistic_regression,11105,0.6731391585760518,0.7199636946977372,0.5791666666666666,0.702020202020202,0.4929078014184397,ldp,3.0,add_comparators_bidir
