scenario,family,model,group_SPD,group_DI,group_EOD,group_AOD,group_EqOdds,group_PP,group_Theil,group_TPR_White,group_TPR_Black,group_FPR_White,group_FPR_Black,group_PosRate_White,group_PosRate_Black,group_Precision_White,group_Precision_Black,ind_consistency,ind_cf_fairness,block,ldp_eps
baseline,logistic_regression,baseline_logistic_regression,0.32808040960214874,0.3858029541169076,0.380952380952381,0.29612054612054617,0.380952380952381,0.07472359893252001,0.38861753679410566,0.7142857142857143,0.3333333333333333,0.33766233766233766,0.12637362637362637,0.5341614906832298,0.20608108108108109,0.6976744186046512,0.6229508196721312,0.9200647249190939,0.9385113268608414,baseline_vs_augmented,
baseline,random_forest,baseline_random_forest,0.28563035084774213,0.4861845085308773,0.287593984962406,0.24644434512855568,0.287593984962406,0.05656424581005581,0.38385562304131376,0.7261904761904762,0.43859649122807015,0.37012987012987014,0.16483516483516483,0.5559006211180124,0.2702702702702703,0.6815642458100558,0.625,0.8381877022653722,0.8300970873786407,baseline_vs_augmented,
baseline,xgboost,baseline_xgboost,0.21348833305355042,0.5979927295716769,0.20770676691729328,0.17952770913297234,0.20770676691729328,0.09698892621624988,0.4275518947099467,0.6726190476190477,0.4649122807017544,0.37662337662337664,0.22527472527472528,0.531055900621118,0.31756756756756754,0.6608187134502924,0.5638297872340425,0.7116504854368932,0.7394822006472492,baseline_vs_augmented,
augmented_SCM,logistic_regression,augmented_SCM_logistic_regression,0.1238668793016619,0.6883973817567568,0.14442355889724312,0.08869529593213804,0.14442355889724312,0.14959490740740744,0.4030408637328555,0.5654761904761905,0.42105263157894735,0.21428571428571427,0.1813186813186813,0.39751552795031053,0.27364864864864863,0.7421875,0.5925925925925926,0.883495145631068,0.8624595469255664,baseline_vs_augmented,
augmented_SCM,random_forest,augmented_SCM_random_forest,0.1531181802920933,0.6859614391461526,0.1372180451127819,0.11131631526368366,0.1372180451127819,0.10467734671556328,0.3910070241877613,0.6547619047619048,0.5175438596491229,0.3051948051948052,0.21978021978021978,0.48757763975155277,0.3344594594594595,0.7006369426751592,0.5959595959595959,0.8605177993527509,0.8495145631067961,baseline_vs_augmented,
augmented_SCM,xgboost,augmented_SCM_xgboost,0.09732247775726038,0.7924646500805441,0.07769423558897237,0.06432164326901166,0.07769423558897237,0.12588801926550275,0.4526788447501098,0.5952380952380952,0.5175438596491229,0.33116883116883117,0.2802197802197802,0.468944099378882,0.3716216216216216,0.6622516556291391,0.5363636363636364,0.7174757281553398,0.7831715210355987,baseline_vs_augmented,
augmented_update_labels,logistic_regression,augmented_update_labels_logistic_regression,0.2426347154608024,0.5844235192639449,0.30858395989974935,0.21498129063918536,0.30858395989974935,0.17058141984411201,0.4275518947099466,0.7559523809523809,0.4473684210526316,0.3961038961038961,0.27472527472527475,0.5838509316770186,0.34121621621621623,0.675531914893617,0.504950495049505,0.9184466019417475,0.959546925566343,baseline_vs_augmented,
augmented_update_labels,random_forest,augmented_update_labels_random_forest,0.19751972469363765,0.6466591591591593,0.19987468671679198,0.15912815254920518,0.19987468671679198,0.11703011422637599,0.4030408637328555,0.7261904761904762,0.5263157894736842,0.37662337662337664,0.25824175824175827,0.5590062111801242,0.3614864864864865,0.6777777777777778,0.5607476635514018,0.8265372168284789,0.8155339805825242,baseline_vs_augmented,
augmented_update_labels,xgboost,augmented_update_labels_xgboost,0.13578563035084767,0.7443100995732576,0.10526315789473684,0.09858562490141437,0.10526315789473684,0.10796221322537103,0.4350239095374701,0.6666666666666666,0.5614035087719298,0.38311688311688313,0.29120879120879123,0.531055900621118,0.3952702702702703,0.6549707602339181,0.5470085470085471,0.7171521035598706,0.7152103559870551,baseline_vs_augmented,
augmented_add_comparators,logistic_regression,augmented_add_comparators_logistic_regression,0.1883288568071177,0.5225047882528198,0.2174185463659148,0.1554125698862541,0.2174185463659148,0.10081321801987864,0.40062248287229973,0.5595238095238095,0.34210526315789475,0.21428571428571427,0.12087912087912088,0.3944099378881988,0.20608108108108109,0.7401574803149606,0.639344262295082,0.9158576051779935,0.9514563106796117,baseline_vs_augmented,
augmented_add_comparators,random_forest,augmented_add_comparators_random_forest,0.21529293268423705,0.5439189189189189,0.22180451127819556,0.1768363215731637,0.22180451127819556,0.07894736842105265,0.38623374544255523,0.6428571428571429,0.42105263157894735,0.2857142857142857,0.15384615384615385,0.4720496894409938,0.25675675675675674,0.7105263157894737,0.631578947368421,0.8601941747572815,0.843042071197411,baseline_vs_augmented,
augmented_add_comparators,xgboost,augmented_add_comparators_xgboost,0.15137653181131444,0.6771970646142831,0.13909774436090228,0.11974867238025133,0.13909774436090228,0.10906016626743698,0.4476026917257007,0.5952380952380952,0.45614035087719296,0.33116883116883117,0.23076923076923078,0.468944099378882,0.31756756756756754,0.6622516556291391,0.5531914893617021,0.7216828478964401,0.7588996763754046,baseline_vs_augmented,
augmented_add_comparators_bidir,logistic_regression,augmented_add_comparators_bidir_logistic_regression,0.16413463152593585,0.590299601927509,0.18546365914786966,0.12844611528822053,0.18546365914786966,0.11561461794019934,0.39340223490999016,0.5714285714285714,0.38596491228070173,0.21428571428571427,0.14285714285714285,0.40062111801242234,0.23648648648648649,0.7441860465116279,0.6285714285714286,0.9006472491909385,0.9174757281553398,baseline_vs_augmented,
augmented_add_comparators_bidir,random_forest,augmented_add_comparators_bidir_random_forest,0.1843419506462985,0.6145577395577395,0.18984962406015038,0.14437536148062463,0.18984962406015038,0.1050903119868637,0.38385562304131376,0.6547619047619048,0.4649122807017544,0.2857142857142857,0.18681318681318682,0.4782608695652174,0.2939189189189189,0.7142857142857143,0.6091954022988506,0.8666666666666667,0.9158576051779935,baseline_vs_augmented,
augmented_add_comparators_bidir,xgboost,augmented_add_comparators_bidir_xgboost,0.12881903642773207,0.7178249678249679,0.11842105263157898,0.0974223145275777,0.11842105263157898,0.1202749140893471,0.45013754732516303,0.5833333333333334,0.4649122807017544,0.3181818181818182,0.24175824175824176,0.45652173913043476,0.3277027027027027,0.6666666666666666,0.5463917525773195,0.727831715210356,0.8818770226537217,baseline_vs_augmented,
