scenario,family,model,flip_rate,proximity,plausibility,sparsity
fl_ldp_eps0.5_eg_eo,xgb,eg_eo_xgb,0.96,0.05356095366621682,0.96,0.855
fl_ldp_eps0.5_eg_tpr,lr,eg_tpr_lr,0.72,0.1978016194331984,0.94,0.785
fl_ldp_eps0.5_eg_tpr,rf,eg_tpr_rf,1.0,0.07827665317139001,0.94,0.8225
fl_ldp_eps0.5_eg_tpr,xgb,eg_tpr_xgb,1.0,0.05531668915879442,0.96,0.8525
fl_ldp_eps0.5_gs_dp,lr,gs_dp_lr,1.0,0.20751821862348177,0.94,0.8075
fl_ldp_eps0.5_gs_dp,rf,gs_dp_rf,1.0,0.07497165991902835,0.94,0.8275
fl_ldp_eps0.5_gs_dp,xgb,gs_dp_xgb,1.0,0.05438281601439496,0.98,0.8575
fl_ldp_eps0.5_gs_eo,lr,gs_eo_lr,1.0,0.21206747638326587,1.0,0.815
fl_ldp_eps0.5_gs_eo,rf,gs_eo_rf,1.0,0.08401349527665318,0.94,0.81
fl_ldp_eps0.5_gs_eo,xgb,gs_eo_xgb,1.0,0.05438281601439496,0.98,0.8575
fl_ldp_eps0.5_to_dp,lr,to_dp_lr,0.78,0.20751821862348177,0.94,0.8075
fl_ldp_eps0.5_to_dp,rf,to_dp_rf,0.88,0.08401349527665318,0.94,0.81
fl_ldp_eps0.5_to_dp,xgb,to_dp_xgb,0.96,0.05438281601439496,0.98,0.8575
fl_ldp_eps0.5_to_eo,lr,to_eo_lr,0.46,0.20751821862348177,0.94,0.8075
fl_ldp_eps0.5_to_eo,rf,to_eo_rf,0.86,0.08401349527665318,0.94,0.81
fl_ldp_eps0.5_to_eo,xgb,to_eo_xgb,0.84,0.05438281601439496,0.98,0.8575
ldp_baseline_eps1,logistic_regression,ldp_baseline_eps1_logistic_regression,1.0,0.2152433648223122,1.0,0.8
ldp_baseline_eps1,random_forest,ldp_baseline_eps1_random_forest,1.0,0.08011470985155195,0.94,0.815
ldp_baseline_eps1,xgboost,ldp_baseline_eps1_xgboost,1.0,0.05186369770580296,0.96,0.845
ldp_SCM_eps1,logistic_regression,ldp_SCM_eps1_logistic_regression,1.0,0.2027152496626181,0.94,0.7975
ldp_SCM_eps1,random_forest,ldp_SCM_eps1_random_forest,1.0,0.09597165991902834,0.9,0.8125
ldp_SCM_eps1,xgboost,ldp_SCM_eps1_xgboost,1.0,0.04530499325236167,0.96,0.8575
ldp_update_labels_eps1,logistic_regression,ldp_update_labels_eps1_logistic_regression,1.0,0.21125506072874495,1.0,0.7975
ldp_update_labels_eps1,random_forest,ldp_update_labels_eps1_random_forest,1.0,0.08514844804318487,0.9,0.8125
ldp_update_labels_eps1,xgboost,ldp_update_labels_eps1_xgboost,1.0,0.050824561403508765,0.96,0.85
ldp_add_comparators_eps1,logistic_regression,ldp_add_comparators_eps1_logistic_regression,1.0,0.20673414304993254,1.0,0.8
ldp_add_comparators_eps1,random_forest,ldp_add_comparators_eps1_random_forest,1.0,0.0952037786774629,0.94,0.8025
ldp_add_comparators_eps1,xgboost,ldp_add_comparators_eps1_xgboost,1.0,0.053328834907782265,0.98,0.85
ldp_add_comparators_bidir_eps1,logistic_regression,ldp_add_comparators_bidir_eps1_logistic_regression,1.0,0.20313360323886642,0.94,0.8
ldp_add_comparators_bidir_eps1,random_forest,ldp_add_comparators_bidir_eps1_random_forest,1.0,0.08989563652721547,0.86,0.8025
ldp_add_comparators_bidir_eps1,xgboost,ldp_add_comparators_bidir_eps1_xgboost,1.0,0.0493625730994152,0.98,0.85
fl_ldp_eps1_baseline,lr,baseline_lr,1.0,0.2152433648223122,1.0,0.8
fl_ldp_eps1_baseline,rf,baseline_rf,1.0,0.08011470985155195,0.94,0.815
fl_ldp_eps1_baseline,xgb,baseline_xgb,1.0,0.05186369770580296,0.96,0.845
fl_ldp_eps1_eg_dp,lr,eg_dp_lr,0.86,0.19397031039136306,0.94,0.79
